number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
28,0.7118200729689322,0.36890800980345645,2025-12-22 19:43:04.348960,2025-12-22 19:43:15.657600,0 days 00:00:11.308640,0.25,41,0.0,2,11,34,0.7118200729689322,0.36890800980345645,15,0.12736318407960198,0,COMPLETE
29,0.0,0.09788997758462187,2025-12-22 19:43:15.659205,2025-12-22 19:43:26.552886,0 days 00:00:10.893681,0.14,47,0.02,19,12,2,0.0,0.09788997758462187,2,0.1626865671641791,0,COMPLETE
30,0.4447874069755406,0.5228231201736075,2025-12-22 19:43:26.554697,2025-12-22 19:43:36.267671,0 days 00:00:09.712974,0.05,8,0.09,2,10,4,0.4447874069755406,0.5228231201736075,110,0.12786069651741294,0,COMPLETE
31,0.0,0.8876628085492843,2025-12-22 19:43:36.269338,2025-12-22 19:43:46.216046,0 days 00:00:09.946708,0.13,40,0.23,11,7,11,0.0,0.8876628085492843,2,0.0,0,COMPLETE
32,0.0,0.937158471597484,2025-12-22 19:43:46.217434,2025-12-22 19:43:57.797489,0 days 00:00:11.580055,0.16,42,0.22,17,9,45,0.0,0.937158471597484,2,0.0,0,COMPLETE
33,0.0,0.9184645144322869,2025-12-22 19:43:57.798755,2025-12-22 19:44:09.625392,0 days 00:00:11.826637,0.01,47,0.21,6,15,24,0.0,0.9184645144322869,2,0.0,0,COMPLETE
34,0.0,0.9312846563079682,2025-12-22 19:44:09.627243,2025-12-22 19:44:21.197723,0 days 00:00:11.570480,0.03,45,0.15,14,8,49,0.0,0.9312846563079682,2,0.0,0,COMPLETE
35,0.0,0.8897718324856352,2025-12-22 19:44:21.200345,2025-12-22 19:44:32.702120,0 days 00:00:11.501775,0.1,12,0.25,9,7,42,0.0,0.8897718324856352,2,0.0,0,COMPLETE
36,0.0,0.8890330689442698,2025-12-22 19:44:32.703897,2025-12-22 19:44:43.117468,0 days 00:00:10.413571,0.01,7,0.26,13,9,14,0.0,0.8890330689442698,2,0.0,0,COMPLETE
37,0.0,0.770733983969518,2025-12-22 19:44:43.118858,2025-12-22 19:44:53.634906,0 days 00:00:10.516048,0.16,25,0.24,19,2,38,0.0,0.770733983969518,2,0.0,0,COMPLETE
38,0.5694097828819327,0.41747725775749095,2025-12-22 19:44:53.636387,2025-12-22 19:45:01.981615,0 days 00:00:08.345228,0.05,29,0.03,3,3,3,0.5694097828819327,0.41747725775749095,29,0.1761194029850746,0,COMPLETE
39,0.0,0.943049936266981,2025-12-22 19:45:01.983493,2025-12-22 19:45:14.858702,0 days 00:00:12.875209,0.07,38,0.2,7,15,50,0.0,0.943049936266981,2,0.0,0,COMPLETE
40,0.720409578964507,0.4539538642456041,2025-12-22 19:45:14.860505,2025-12-22 19:45:24.640828,0 days 00:00:09.780323,0.27,44,0.01,9,9,11,0.720409578964507,0.4539538642456041,14,0.10845771144278607,0,COMPLETE
41,0.0,0.9230763404513168,2025-12-22 19:45:24.642227,2025-12-22 19:45:36.161560,0 days 00:00:11.519333,0.3,13,0.3,11,12,31,0.0,0.9230763404513168,2,0.0,0,COMPLETE
42,0.0,0.1439059924008982,2025-12-22 19:45:36.162982,2025-12-22 19:45:45.706813,0 days 00:00:09.543831,0.01,29,0.22,9,14,5,0.0,0.1439059924008982,2,0.0029850746268656717,0,COMPLETE
43,0.0,0.9158857507979137,2025-12-22 19:45:45.708354,2025-12-22 19:45:56.201892,0 days 00:00:10.493538,0.19,45,0.12,4,9,18,0.0,0.9158857507979137,2,0.0,0,COMPLETE
44,0.0,0.9344926568511195,2025-12-22 19:45:56.203847,2025-12-22 19:46:07.972229,0 days 00:00:11.768382,0.27,34,0.21,4,9,50,0.0,0.9344926568511195,2,0.0,0,COMPLETE
