number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
26,0.5899927887273024,0.372602143923889,2025-12-22 19:38:10.591590,2025-12-22 19:38:21.227145,0 days 00:00:10.635555,0.3,46,0.19,7,9,29,0.5899927887273024,0.372602143923889,12,0.38656716417910447,0,COMPLETE
27,0.4042716956477628,0.5401194270252598,2025-12-22 19:38:21.228981,2025-12-22 19:38:32.344844,0 days 00:00:11.115863,0.04,3,0.2,6,8,33,0.4042716956477628,0.5401194270252598,75,0.3447761194029851,0,COMPLETE
28,0.49452915121926144,0.5253033435210585,2025-12-22 19:38:32.346519,2025-12-22 19:38:42.947222,0 days 00:00:10.600703,0.23,14,0.21,10,12,18,0.49452915121926144,0.5253033435210585,35,0.35870646766169156,0,COMPLETE
29,0.45416973813167294,0.5717063493099729,2025-12-22 19:38:42.948320,2025-12-22 19:38:54.343063,0 days 00:00:11.394743,0.18,2,0.24,12,14,24,0.45416973813167294,0.5717063493099729,44,0.40497512437810945,0,COMPLETE
30,0.7057085978293881,-0.16949365878078881,2025-12-22 19:38:54.344920,2025-12-22 19:39:03.808245,0 days 00:00:09.463325,0.0,35,0.18,3,2,17,0.7057085978293881,-0.16949365878078881,16,0.21592039800995025,0,COMPLETE
31,0.6055239692611966,0.38832626558280486,2025-12-22 19:39:03.810128,2025-12-22 19:39:13.957483,0 days 00:00:10.147355,0.01,43,0.08,8,10,17,0.6055239692611966,0.38832626558280486,12,0.22238805970149253,0,COMPLETE
32,0.5723468729934691,0.5955733762055279,2025-12-22 19:39:13.959417,2025-12-22 19:39:24.596879,0 days 00:00:10.637462,0.23,15,0.11,11,14,14,0.5723468729934691,0.5955733762055279,38,0.31393034825870647,0,COMPLETE
33,0.5259694449899543,0.43415377218452683,2025-12-22 19:39:24.598167,2025-12-22 19:39:35.921914,0 days 00:00:11.323747,0.24,19,0.3,10,11,39,0.5259694449899543,0.43415377218452683,17,0.34776119402985073,0,COMPLETE
34,0.561226693193829,0.27925286720971243,2025-12-22 19:39:35.923120,2025-12-22 19:39:45.829800,0 days 00:00:09.906680,0.24,48,0.26,13,4,22,0.561226693193829,0.27925286720971243,10,0.4129353233830846,0,COMPLETE
35,0.0,0.281157936500344,2025-12-22 19:39:45.832151,2025-12-22 19:39:56.153057,0 days 00:00:10.320906,0.04,14,0.28,18,10,15,0.0,0.281157936500344,2,0.009950248756218905,0,COMPLETE
