number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
25,0.25851053340127944,0.5288825158740776,2025-12-22 19:37:40.324824,2025-12-22 19:37:52.086472,0 days 00:00:11.761648,0.17,5,0.17,3,6,48,0.25851053340127944,0.5288825158740776,140,0.1736318407960199,0,COMPLETE
26,0.52645912831722,0.17775303800839035,2025-12-22 19:37:52.087848,2025-12-22 19:38:02.604250,0 days 00:00:10.516402,0.27,24,0.25,1,8,37,0.52645912831722,0.17775303800839035,31,0.24676616915422886,0,COMPLETE
27,0.4842429817862128,0.5433830863580347,2025-12-22 19:38:02.606076,2025-12-22 19:38:12.541038,0 days 00:00:09.934962,0.05,4,0.07,20,4,31,0.4842429817862128,0.5433830863580347,26,0.3880597014925373,0,COMPLETE
28,0.5354233726860151,0.5989175807469301,2025-12-22 19:38:12.542929,2025-12-22 19:38:22.369470,0 days 00:00:09.826541,0.1,2,0.1,20,4,28,0.5354233726860151,0.5989175807469301,34,0.472636815920398,0,COMPLETE
29,0.4139396402375066,0.6190642800001184,2025-12-22 19:38:22.371488,2025-12-22 19:38:32.827626,0 days 00:00:10.456138,0.18,9,0.13,12,13,14,0.4139396402375066,0.6190642800001184,57,0.27860696517412936,0,COMPLETE
30,0.5143716450834392,0.5949377285109829,2025-12-22 19:38:32.829484,2025-12-22 19:38:44.020650,0 days 00:00:11.191166,0.21,16,0.12,18,15,25,0.5143716450834392,0.5949377285109829,29,0.4134328358208955,0,COMPLETE
31,0.3826164857659351,0.47908445811611,2025-12-22 19:38:44.022388,2025-12-22 19:38:53.941839,0 days 00:00:09.919451,0.26,14,0.25,7,8,16,0.3826164857659351,0.47908445811611,51,0.26169154228855723,0,COMPLETE
32,0.5463630526322015,0.5132199336961213,2025-12-22 19:38:53.943328,2025-12-22 19:39:05.337568,0 days 00:00:11.394240,0.26,5,0.11,19,12,48,0.5463630526322015,0.5132199336961213,27,0.4532338308457711,0,COMPLETE
33,0.4808021115344886,0.2160753673052633,2025-12-22 19:39:05.339418,2025-12-22 19:39:15.062330,0 days 00:00:09.722912,0.19,17,0.24,3,3,25,0.4808021115344886,0.2160753673052633,38,0.26616915422885573,0,COMPLETE
34,0.48966989073197104,0.42259603957661457,2025-12-22 19:39:15.064217,2025-12-22 19:39:27.151178,0 days 00:00:12.086961,0.25,21,0.18,14,15,48,0.48966989073197104,0.42259603957661457,22,0.40746268656716417,0,COMPLETE
35,0.6643818047786467,0.40734487267817315,2025-12-22 19:39:27.153022,2025-12-22 19:39:37.880828,0 days 00:00:10.727806,0.0,27,0.09,14,8,46,0.6643818047786467,0.40734487267817315,17,0.24378109452736318,0,COMPLETE
